#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2017 12 31 23 50  66  7.2  8.8  1.48 14.81  5.47 282 1018.2  22.1  23.0 999.0 99.0 99.00
2018 01 01 00 50  61  6.7  8.0  1.46  7.69  5.37  40 1018.1  22.1  23.0 999.0 99.0 99.00
2018 01 01 01 50  54  6.6  7.8  1.48  8.33  5.54  41 1018.3  21.9  23.0 999.0 99.0 99.00
2018 01 01 02 50  52  7.3  9.2  1.42 14.81  5.79   3 1018.7  21.7  23.0 999.0 99.0 99.00
2018 01 01 03 50  63  6.5  8.0  1.36 14.81  5.62 335 1019.2  21.6  23.0 999.0 99.0 99.00
2018 01 01 04 50  60  6.1  8.0  1.40 13.79  5.96 330 1020.0  21.4  23.0 999.0 99.0 99.00
2018 01 01 05 50  73  5.8  7.3  1.50 13.79  6.10 296 1020.5  21.3  23.0 999.0 99.0 99.00
2018 01 01 06 50  82  6.9  8.0  1.53 13.79  5.69 288 1020.9  21.7  23.0 999.0 99.0 99.00
2018 01 01 07 50  90  6.6  7.9  1.66  8.33  5.91  56 1021.0  21.8  23.0 999.0 99.0 99.00
2018 01 01 08 50  83  6.2  7.7  1.77  6.67  5.89  15 1020.9  21.9  22.9 999.0 99.0 99.00
2018 01 01 09 50  75  6.3  7.9  1.70  6.67  5.82  25 1020.8  21.9  22.9 999.0 99.0 99.00
2018 01 01 10 50  67  6.8  8.3  1.84  8.33  6.07  34 1020.2  21.7  22.9 999.0 99.0 99.00
2018 01 01 11 50  77  5.2  6.8  1.81  7.69  5.97  34 1020.1  21.6  23.0 999.0 99.0 99.00
2018 01 01 12 50  82  5.2  6.7  1.85 13.79  6.22 307 1019.8  21.4  22.9 999.0 99.0 99.00
2018 01 01 13 50  86  6.1  7.5  1.71  8.33  6.18  39 1019.6  21.5  22.9 999.0 99.0 99.00
2018 01 01 14 50 100  4.8  6.2  1.82  7.14  6.34  23 1019.7  21.3  22.9 999.0 99.0 99.00
2018 01 01 15 50  80  5.9  7.4  1.93  9.09  6.71  51 1020.3  21.4  22.9 999.0 99.0 99.00
2018 01 01 16 50  79  5.8  7.6  1.77  8.33  6.43  46 1020.7  21.4  22.9 999.0 99.0 99.00
2018 01 01 17 50  89  4.3  6.3  1.84  8.33  6.66  29 1021.5  21.4  22.9 999.0 99.0 99.00
2018 01 01 18 50  93  5.8  7.6  1.91  7.69  6.92  40 1021.8  21.6  22.9 999.0 99.0 99.00
2018 01 01 19 50  95  5.6  7.1  1.81 13.79  6.62 298 1021.8  21.7  23.0 999.0 99.0 99.00
2018 01 01 20 50  94  6.1  7.9  1.76 14.81  6.85 325 1021.5  21.7  23.0 999.0 99.0 99.00
2018 01 01 21 50 100  6.2  7.5  1.68 13.79  6.65 312 1021.2  21.8  23.0 999.0 99.0 99.00
2018 01 01 22 50 109  5.5  6.9  1.76 14.81  6.65 311 1020.0  21.7  23.0 999.0 99.0 99.00
2018 01 01 23 50  97  4.3  5.8  1.74  8.33  6.51  49 1019.1  21.6  23.0 999.0 99.0 99.00
2018 01 02 00 50 109  5.0  6.6  1.68 13.79  6.70 304 1018.6  21.7  23.1 999.0 99.0 99.00
2018 01 02 01 50  81  5.2  6.5  1.75 14.81  6.97 284 1018.9  21.8  23.1 999.0 99.0 99.00
2018 01 02 02 50  78  5.1  6.5  1.78 13.79  7.20 307 1019.6  21.7  23.1 999.0 99.0 99.00
2018 01 02 03 50  71  5.0  6.7  1.76 14.81  7.19 308 1019.8  21.6  23.0 999.0 99.0 99.00
2018 01 02 04 50  78  5.6  7.3  1.66 13.79  7.11 283 1020.2  21.6  23.0 999.0 99.0 99.00
2018 01 02 05 50  70  5.8  7.1  1.61 13.79  6.78 301 1021.1  21.6  23.0 999.0 99.0 99.00
2018 01 02 06 50  82  6.1  7.5  1.81 14.81  7.05 299 1021.5  21.5  23.0 999.0 99.0 99.00
2018 01 02 07 50  64  5.6  7.2  1.88 13.79  7.37 291 1021.8  21.5  23.0 999.0 99.0 99.00
2018 01 02 08 50  71  5.2  6.6  1.77 12.90  7.09 295 1021.7  21.4  22.9 999.0 99.0 99.00
2018 01 02 09 50  56  4.4  5.6  1.66 13.79  6.56 279 1021.6  21.2  22.9 999.0 99.0 99.00
2018 01 02 10 50  72  5.0  6.5  1.72 13.79  6.83 300 1021.2  21.1  22.9 999.0 99.0 99.00
2018 01 02 11 50  71  4.4  6.5  1.62 12.90  6.88 330 1020.7  21.0  22.9 999.0 99.0 99.00
2018 01 02 12 50  61  5.3  6.3  1.67 13.79  6.95 294 1020.6  20.9  22.9 999.0 99.0 99.00
2018 01 02 13 50  65  4.2  7.0  1.58 12.12  6.88 319 1020.6  20.9  22.9 999.0 99.0 99.00
2018 01 02 14 50  61  3.6  4.9  1.54 12.12  6.90 330 1020.5  20.8  22.9 999.0 99.0 99.00
2018 01 02 15 50  75  4.7  6.1  1.60 13.79  6.99 288 1020.6  20.9  22.9 999.0 99.0 99.00
2018 01 02 16 50  59  4.8  5.9  1.63 12.90  7.24 291 1021.2  21.0  22.9 999.0 99.0 99.00
2018 01 02 17 50  83  4.4  5.9  1.75 12.90  7.45 314 1021.9  21.1  22.9 999.0 99.0 99.00
2018 01 02 18 50  78  4.8  6.2  1.76 13.79  7.81 297 1022.4  21.2  22.9 999.0 99.0 99.00
2018 01 02 19 50  78  4.7  6.5  1.88 13.79  7.69 296 1022.5  21.3  22.9 999.0 99.0 99.00
2018 01 02 20 50  85  3.8  5.2  1.78 11.43  7.48 323 1022.7  21.5  22.9 999.0 99.0 99.00
2018 01 02 21 50  73  4.1  5.4  1.87 13.79  7.78 303 1021.7  21.3  23.0 999.0 99.0 99.00
2018 01 02 22 50  60  4.7  6.0  1.87 12.12  8.01 307 1021.1  21.5  23.0 999.0 99.0 99.00
2018 01 02 23 50  44  4.5  5.6  2.01 13.79  8.27 301 1020.1  21.4  23.0 999.0 99.0 99.00
2018 01 03 00 50  53  4.3  5.8  1.79 17.39  7.65 299 1019.3  21.4  23.0 999.0 99.0 99.00
2018 01 03 01 50  46  4.6  6.1  2.23 16.00  9.00 306 1019.4  21.6  23.0 999.0 99.0 99.00
2018 01 03 02 50  49  4.6  5.7  2.32 16.00  8.90 321 1020.0  21.3  23.0 999.0 99.0 99.00
2018 01 03 03 50  55  4.6  6.2  2.60 16.00  9.82 311 1020.0  21.1  23.0 999.0 99.0 99.00
2018 01 03 04 50  50  4.5  6.4  2.41 16.00  9.76 309 1020.8  21.0  22.9 999.0 99.0 99.00
2018 01 03 05 50  68  4.4  5.5  2.43 16.00  9.61 315 1021.3  21.0  22.9 999.0 99.0 99.00
2018 01 03 06 50  69  3.2  4.8  2.59 14.81 10.01 311 1022.1  20.9  22.9 999.0 99.0 99.00
2018 01 03 07 50  51  3.9  5.2  2.52 13.79  9.91 306 1022.5  20.8  22.9 999.0 99.0 99.00
2018 01 03 08 50  43  3.2  4.7  2.53 14.81 10.17 312 1022.5  20.8  22.9 999.0 99.0 99.00
2018 01 03 09 50  48  5.6  7.5  2.20 13.79  9.56 310 1022.2  20.8  22.9 999.0 99.0 99.00
2018 01 03 10 50  37  5.8  7.3  2.28 13.79  9.33 307 1022.1  20.8  22.9 999.0 99.0 99.00
2018 01 03 11 50  51  5.1  6.1  2.54 14.81  9.68 306 1021.9  20.7  22.8 999.0 99.0 99.00
2018 01 03 12 50  50  5.6  6.6  2.69 13.79  9.91 308 1021.4  20.7  22.8 999.0 99.0 99.00
2018 01 03 13 50  51  5.3  7.3  2.38 12.90  8.88 303 1021.2  20.7  22.8 999.0 99.0 99.00
